gvkey,calyear,fyear,aaer,e,car
1004,2003,2002,0,-0.021219892,-0.091799703
1013,2003,2003,0,0.074056946,0.051226818
1034,2003,2003,0,0.001960171,-0.233860164
1038,2003,2002,0,-0.074495107,-0.328282147
1056,2003,2003,0,0.000140145,0.075610964
1072,2003,2002,0,-0.002451633,0.066099968
1078,2003,2003,0,0.001135567,-0.033763264
1081,2003,2003,0,-0.016209127,-0.052924718
1111,2003,2002,0,0.019969907,0.103662507
1161,2003,2003,0,0.04704506,0.133825386
1186,2003,2003,0,-0.042258594,-0.325922644
1209,2003,2003,0,-0.001852103,-0.068588187
1230,2003,2003,0,0.018395459,0.083112041
1239,2003,2003,0,0.007208095,0.06225335
1240,2003,2002,0,0.004093787,-0.010468899
1243,2003,2003,0,-0.001285651,0.09434431
1246,2003,2003,0,0.001185172,-0.0424383
1254,2003,2003,0,0.005406809,-0.015514324
1300,2003,2003,0,-0.001316271,0.038465996
1327,2003,2003,0,0.003460082,-0.269105555
1356,2003,2003,0,0.000115,0.042308205
1380,2003,2003,0,0.004977837,-0.042551356
1408,2003,2003,0,0.010657914,0.150157208
1410,2003,2003,0,-0.01873686,0.042408787
1468,2003,2002,0,0.007747103,-0.002258123
1478,2003,2003,0,0.02907612,0.093224569
1500,2003,2003,0,-0.009359473,-0.142172865
1554,2003,2002,0,-0.043716028,0.082930568
1567,2003,2003,0,0.009464433,0.059817373
1598,2003,2003,0,0.001392963,-0.014220057
1602,2003,2003,0,0.004623255,-0.003434881
1632,2003,2003,0,0.003810267,0.126636918
1633,2003,2003,0,0.034225892,-0.076684613
1634,2003,2003,0,-0.017612444,0.139626263
1635,2003,2003,0,-0.015151943,0.07952685
1651,2003,2003,0,0.02483166,0.112318889
1655,2003,2002,0,0.020972401,0.106093301
1661,2003,2003,0,0.006661028,-0.12130753
1663,2003,2003,0,0.003003317,0.031507152
1677,2003,2003,0,-0.004395052,-0.055300588
1678,2003,2003,0,0.000485833,-0.101345018
1686,2003,2002,0,0.01666056,0.117723883
1690,2003,2003,0,0.004435163,-0.012899419
1704,2003,2003,0,0.002259955,0.054788071
1706,2003,2003,0,-0.1127406,0.146618934
1722,2003,2003,0,0.004103711,0.071936408
1743,2003,2003,0,-0.017914306,-0.203043377
1773,2003,2003,0,0.010981693,0.024506137
1794,2003,2003,0,-0.020246139,0.020420023
1860,2003,2003,0,-0.025195142,-0.117173924
1864,2003,2002,0,-0.001775346,-0.071579989
1878,2003,2002,0,-0.002343775,0.079892685
1891,2003,2003,0,0.002108331,-0.107271782
1913,2003,2003,0,0.003715656,0.100281893
1914,2003,2003,0,0.010392361,0.104162439
1919,2003,2003,0,0.002063979,0.080720475
1926,2003,2002,0,0.023652414,0.018488151
1968,2003,2003,0,0.032225013,0.09006988
1976,2003,2003,0,0.011176084,-0.019713639
1979,2003,2003,0,-0.024298338,0.004040282
1981,2003,2003,0,-0.003196087,-0.042483575
1988,2003,2003,0,0.042688068,0.169532858
2008,2003,2003,0,0.036116496,0.117815153
2034,2003,2003,0,0.004725768,0.11243548
2044,2003,2003,0,0.005334224,0.069946034
2049,2003,2003,0,-0.006997506,-0.037394957
2055,2003,2003,0,-0.001325541,-0.067406601
2080,2003,2003,0,0.013661715,-0.105049091
2085,2003,2003,0,0.006694329,0.070948129
2086,2003,2003,0,-0.000612708,-0.002567138
2101,2003,2003,0,0.005933169,0.01055267
2111,2003,2003,0,0.009237588,0.08687689
2150,2003,2003,0,0.003425825,0.070284092
2154,2003,2003,0,0.000905266,0.00328708
2184,2003,2002,0,0.018014343,-0.067266009
2193,2003,2003,0,0.014280276,-0.108460417
2230,2003,2002,0,0.005444539,-0.030419146
2255,2003,2003,0,0.044017635,0.103995006
2269,2003,2002,0,0.041930407,-0.051546057
2270,2003,2003,0,0.001655969,0.108743514
2282,2003,2002,0,0.007512653,0.188659189
2285,2003,2003,0,-0.014180476,0.070557555
2290,2003,2003,0,0.007626746,0.072544182
2299,2003,2003,0,0.000422211,-0.00278987
