gvkey,fyear,calyear,car,e,aaer
1004,1989,1990,-0.047825727,-0.009369152,0
1013,1990,1990,-0.066286699,0.028541517,0
1034,1990,1990,0.082221553,0.004847284,0
1043,1990,1990,-0.316291688,-0.097850904,0
1045,1990,1990,0.022933235,-0.004744479,0
1054,1990,1990,-0.101611884,-0.014551873,0
1076,1989,1990,-0.003778724,-0.041949581,0
1081,1990,1990,-0.041768094,-0.055247135,0
1098,1990,1990,-0.153605619,-0.022313278,0
1128,1990,1990,-0.042352401,-0.017376572,0
1151,1989,1990,0.09974976,0.042020068,0
1161,1990,1990,-0.081750526,-0.028354518,0
1181,1990,1990,-0.08063859,-0.03318353,0
1183,1989,1990,-0.17644565,-0.014712031,0
1203,1990,1990,-0.087396073,0.036419373,0
1208,1990,1990,-0.029408416,0.035183046,0
1209,1990,1990,0.03859374,0.000307511,0
1212,1990,1990,-0.122028226,-0.02032645,0
1213,1990,1990,0.058132569,0.012082824,0
1230,1990,1990,-0.129931259,-0.010469684,0
1239,1990,1990,0.023049988,0.007993256,0
1240,1989,1990,0.034958063,0.014097868,0
1243,1990,1990,-0.115866202,-0.003763124,0
1246,1990,1990,-0.003927496,-0.023514759,0
1254,1990,1990,0.041347343,-0.009468865,0
1281,1990,1990,0.139338563,0.026199097,0
1300,1990,1990,-0.02652521,0.006936746,0
1351,1990,1990,-0.101559096,-0.016854018,0
1356,1990,1990,-0.065820003,-0.002758038,0
1359,1990,1990,-0.053679288,-0.006704259,0
1365,1990,1990,0.153104784,0.003886146,0
1380,1990,1990,0.012486946,0.03127005,0
1392,1990,1990,-0.222112737,0.012877186,0
1408,1990,1990,0.044264833,-0.001728042,0
1411,1990,1990,0.058563108,-0.000216954,0
1430,1990,1990,-0.075550594,-0.016208809,0
1468,1989,1990,-0.021076002,0.009278417,0
1478,1990,1990,-0.063751326,0.009308272,0
1500,1990,1990,-0.103358271,0.025888056,0
1542,1990,1990,-0.369695803,-0.023927076,0
1543,1990,1990,-0.031987569,0.0012846,0
1562,1989,1990,0.139807692,0.002784975,0
1573,1989,1990,0.025744876,0.008292575,0
1598,1990,1990,-0.020291772,-0.004235537,0
1602,1989,1990,0.113670196,0.011850517,0
1608,1990,1990,-0.113349035,0.004521903,0
1609,1990,1990,0.021337562,0.007791553,0
1632,1990,1990,0.154497498,-0.036414191,0
1634,1990,1990,0.048064303,-0.003294932,0
1651,1990,1990,0.077296831,0.003245049,0
1652,1990,1990,-0.22643579,-0.000825135,0
1655,1989,1990,0.022023387,0.011510117,0
1663,1990,1990,0.001000112,0.008285456,0
